fid,class,natura_cod,status,area,region
75929,forest,,,2067.72373,Harju
75930,forest,,,335.2481,Harju
75945,forest,,,1957.32855,Harju
75967,forest,,,1358.38136,Harju
76006,forest,,,10506.259,Harju
76008,forest,,,2214.67544,Harju
76011,forest,,,505.119977,Harju
76029,forest,,,813.59361,Harju
76041,forest,,,392.839906,Harju
76048,forest,,,18846.1038,Harju
76049,forest,,,17.7946064,Harju
76057,forest,,,570.168854,Harju
76115,forest,,,2786.17718,Harju
76120,forest,,,3233.53872,Harju
76138,forest,,,4867.05411,Harju
76139,forest,,,329.198886,Harju
76147,forest,,,2049.27077,Harju
76173,forest,,,199530.022,Harju
76174,forest,,,3693.64946,Harju
76194,forest,,,20021.4909,Harju
76195,forest,,,633.540506,Harju
76217,forest,,,25.361165,Harju
76222,forest,,,1819.0614,Harju
76223,forest,,,6113.17025,Harju
76224,forest,,,2257.37898,Harju
76228,forest,,,37388.4855,Harju
76233,forest,,,561.897706,Harju
76251,forest,,,2014.32656,Harju
76259,forest,,,4469.99683,Harju
76278,forest,,,9679.98929,Harju
76287,forest,,,3704.94642,Harju
76288,forest,,,960.075787,Harju
76291,forest,,,6212.5855,Harju
76303,forest,,,1122.03951,Harju
76304,forest,,,5850.01619,Harju
76347,forest,,,763.3393,Harju
76357,forest,,,733.366743,Harju
76362,forest,,,5665.56632,Harju
76404,forest,,,62.2136722,Harju
76409,forest,,,203.675924,Harju
76433,forest,,,547.971054,Harju
76444,forest,,,4166.90116,Harju
76456,forest,,,41.754323,Harju
76620,forest,,,12736.8279,Harju
76638,forest,,,30151.2993,Harju
76710,forest,,,43159.0383,Harju
76759,forest,,,12537.6769,Harju
76760,forest,,,5358.78758,Harju
76928,forest,,,7432.27713,Harju
76954,forest,,,15.8200539,Harju
77064,forest,,,1981.83322,Harju
77193,forest,,,125251.313,Harju
77421,forest,,,5094.43317,Harju
77439,forest,,,1220.5736,Harju
77757,forest,,,2693.11511,Harju
77764,forest,,,1408.15636,Harju
78069,forest,,,1925.72134,Harju
78105,forest,,,12075.4363,Harju
78209,forest,,,742.279161,Harju
78535,forest,,,23264.7111,Harju
78590,forest,,,2.89983168,Harju
78592,forest,,,497.797114,Harju
78596,forest,,,66215.5388,Harju
78600,forest,,,8373.32583,Harju
78606,forest,,,1134.24552,Harju
78628,forest,,,472.903053,Harju
78634,forest,,,1737.22155,Harju
