fid,class,natura_cod,status,area,region
91715,natura2000,9020*,I,2996.36652,Harju
91716,natura2000,9020*,I,388.208712,Harju
91717,natura2000,9020*,I,2839.33493,Harju
91718,natura2000,9020*,I,2701.90107,Harju
91719,natura2000,9020*,I,2534.82034,Harju
91720,natura2000,9020*,I,2415.25597,Harju
91722,natura2000,9020*,I,1911.70503,Harju
91723,natura2000,7230,II,238.047499,Harju
91724,natura2000,7230,II,2849.17464,Harju
91725,natura2000,7230,II,165.018194,Harju
91726,natura2000,7230,II,45.8668498,Harju
91727,natura2000,7230,II,1109.79792,Harju
91728,natura2000,7230,II,292.581068,Harju
91729,natura2000,7230,II,61.6821341,Harju
91730,natura2000,7230,II,2599.39729,Harju
91731,natura2000,7230,II,1.04293685,Harju
91732,natura2000,7230,II,1896.96592,Harju
91733,natura2000,7230,II,1742.53403,Harju
91735,natura2000,9080*,III,75030.7171,Harju
91736,natura2000,9080*,III,63051.2202,Harju
91737,natura2000,9080*,III,3896.83064,Harju
91738,natura2000,9080*,III,5467.24074,Harju
91739,natura2000,9080*,III,4072.48774,Harju
91740,natura2000,9080*,I,34277.8148,Harju
91741,natura2000,9080*,I,19928.618,Harju
91742,natura2000,9080*,I,4335.02495,Harju
91743,natura2000,9080*,I,973.583407,Harju
91744,natura2000,9080*,I,352.823444,Harju
91745,natura2000,9080*,I,1584.19482,Harju
91746,natura2000,6210*,II,28.7187526,Harju
91747,natura2000,6210*,II,11.8919015,Harju
91748,natura2000,6210*,II,125.380715,Harju
91749,natura2000,6210*,II,19.4252887,Harju
91750,natura2000,6210*,II,4.7803325,Harju
91751,natura2000,6210*,II,176.368642,Harju
91752,natura2000,6210*,II,20.3907358,Harju
91753,natura2000,6210*,II,141.272746,Harju
91754,natura2000,6210*,II,1.20182158,Harju
91755,natura2000,6210*,II,2.87940137,Harju
91756,natura2000,6210*,II,64.9674086,Harju
91757,natura2000,6210*,II,1.44362253,Harju
91758,natura2000,6210*,II,4382.04502,Harju
91759,natura2000,6210*,II,5.93471808,Harju
91765,natura2000,7110*,III,41018.8808,Harju
91766,natura2000,7110*,III,13191.1357,Harju
91767,natura2000,6430,III,1184.23002,Harju
91768,natura2000,6430,III,3.97927887,Harju
