fid,class,natura_cod,status,area,region
83757,forest,,,5232.76109,Harju
83800,forest,,,10570.0316,Harju
83801,forest,,,907.658855,Harju
83802,forest,,,19730.4888,Harju
83805,forest,,,17116.4763,Harju
83810,forest,,,8259.93023,Harju
83812,forest,,,709.500575,Harju
83813,forest,,,952.956181,Harju
83824,forest,,,28486.8323,Harju
83877,forest,,,698.282159,Harju
83951,forest,,,541.894802,Harju
83952,forest,,,1202.65347,Harju
83987,forest,,,36687.0969,Harju
84035,forest,,,181.355529,Harju
84059,forest,,,1060.4651,Harju
84099,forest,,,627.043937,Harju
84105,forest,,,138779.388,Harju
84223,forest,,,16666.9933,Harju
84233,forest,,,107.17163,Harju
84235,forest,,,488.045172,Harju
84267,forest,,,175390.926,Harju
84268,forest,,,18608.9934,Harju
84279,forest,,,129.371212,Harju
84289,forest,,,925.143537,Harju
84302,forest,,,1336.69938,Harju
84376,forest,,,52676.284,Harju
84377,forest,,,4937.1677,Harju
84378,forest,,,8424.76326,Harju
84379,forest,,,2403.80497,Harju
84388,forest,,,535.101764,Harju
84403,forest,,,3204.4538,Harju
84405,forest,,,282.269,Harju
84447,forest,,,4305.92038,Harju
84448,forest,,,532.01417,Harju
84451,forest,,,496.960416,Harju
84453,forest,,,21399.0907,Harju
84466,forest,,,18455.0135,Harju
84467,forest,,,38065.5283,Harju
84468,forest,,,27531.9461,Harju
84472,forest,,,5826.39418,Harju
84478,forest,,,11216.2085,Harju
84493,forest,,,16706.0565,Harju
84496,forest,,,2997.2374,Harju
84630,perm,,,55.4731816,Harju
84705,perm,,,187.10809,Harju
84799,perm,,,259.722762,Harju
84829,perm,,,5.93366608,Harju
84840,perm,,,82.9698135,Harju
84869,perm,,,217.708548,Harju
84934,perm,,,437.301128,Harju
85063,perm,,,284.590919,Harju
85247,perm,,,21.6570878,Harju
85575,perm,,,3.70867813,Harju
85650,perm,,,117.174809,Harju
85651,perm,,,25.2839026,Harju
85671,perm,,,198.449508,Harju
85724,perm,,,0.07297209,Harju
85779,perm,,,116.078507,Harju
85787,perm,,,138.228882,Harju
85811,perm,,,126.484825,Harju
85908,perm,,,883.140393,Harju
85932,perm,,,9.78203859,Harju
85995,perm,,,62.9555838,Harju
86008,perm,,,340.90467,Harju
86022,perm,,,27.891228,Harju
86055,perm,,,174.124702,Harju
86179,perm,,,150.813687,Harju
86180,perm,,,271.836001,Harju
86259,perm,,,139.979125,Harju
86517,perm,,,119.96192,Harju
86593,perm,,,146.303348,Harju
86675,perm,,,78.2771081,Harju
86685,perm,,,152.378965,Harju
86717,perm,,,678.403027,Harju
86731,perm,,,18.8092016,Harju
86746,perm,,,62.7562702,Harju
86778,perm,,,265.91943,Harju
86782,perm,,,36.0454511,Harju
86790,perm,,,204.279923,Harju
86818,perm,,,12.0859641,Harju
86850,perm,,,440.510221,Harju
86975,perm,,,43.5889629,Harju
87004,perm,,,175.75293,Harju
87038,perm,,,1319.13461,Harju
87042,perm,,,5.42320249,Harju
87043,perm,,,82.9694606,Harju
87134,perm,,,158.581968,Harju
